game_id,match_id,recorded_at,champion,player,rank,kills,deaths,assists,cs,vision,gold,patch,game_date,video_mb,video_filename,youtube_url
568534574,JP1_568534574,2026-03-04 00:36,Diana,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,Challenger,7,1,13,54,37,15717,16.4,2026-03-03 14:14 JST,1328,[JP Challenger JG] Diana 7-1-13 - 豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊.mp4,https://www.youtube.com/watch?v=Vq21iCELzas
568544625,JP1_568544625,2026-03-04 00:05,Graves,ONCE#JP1,Challenger,17,2,7,46,35,16229,16.4,2026-03-03 15:39 JST,1152,[JP Challenger JG] Graves 17-2-7 - ONCE#JP1.mp4,https://www.youtube.com/watch?v=CNbDN0ZIt5A
568546177,JP1_568546177,2026-03-03 23:38,Zyra,Fa J#6115,Challenger,3,5,14,12,36,9878,16.4,2026-03-03 15:51 JST,1091,[JP Challenger JG] Zyra 3-5-14 - Fa J#6115.mp4,https://www.youtube.com/watch?v=7MFNzU1-v14
568565180,JP1_568565180,2026-03-03 23:13,Zyra,白鶴仙童#MYZZ,Challenger,11,3,10,34,40,15418,16.4,2026-03-03 18:14 JST,1267,[JP Challenger JG] Zyra 11-3-10 - 白鶴仙童#MYZZ.mp4,https://www.youtube.com/watch?v=FXMPRE3kT1U
568580241,JP1_568580241,2026-03-03 22:43,Lillia,senzawa#JP1,Challenger,7,1,13,10,27,13986,16.4,2026-03-03 19:57 JST,1176,[JP Challenger JG] Lillia 7-1-13 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=cKts8Op1l0I
568597315,JP1_568597315,2026-03-03 22:16,Jayce,我要验牌#十JQKA,Challenger,5,4,8,14,20,10120,16.4,2026-03-03 21:20 JST,833,[JP Challenger JG] Jayce 5-4-8 - 我要验牌#十JQKA.mp4,https://www.youtube.com/watch?v=nazgxNdJkbA
568697084,JP1_568697084,2026-03-05 01:00,Graves,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,Challenger,12,0,4,22,14,13618,16.5,2026-03-04 11:53 JST,946,[JP Challenger JG] Graves 12-0-4 - 豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊.mp4,https://www.youtube.com/watch?v=vGRnriyi3EI
568709255,JP1_568709255,2026-03-05 01:34,Zaahen,ねすてぃー#7777,Challenger,17,2,11,44,40,19462,16.5,2026-03-04 14:19 JST,1432,[JP Challenger JG] Zaahen 17-2-11 - ねすてぃー#7777.mp4,
568722336,JP1_568722336,2026-03-05 02:13,Aatrox,I Am AtomiK#シャドウ,Challenger,20,5,9,55,27,21108,16.5,2026-03-04 16:30 JST,1721,[JP Challenger JG] Aatrox 20-5-9 - I Am AtomiK#シャドウ.mp4,
568725339,JP1_568725339,2026-03-05 02:43,Viego,ねすてぃー#7474,Challenger,2,6,5,24,24,11746,16.5,2026-03-04 16:54 JST,1267,[JP Challenger JG] Viego 2-6-5 - ねすてぃー#7474.mp4,
